,FEDFUNDS,CPI_INFLATION,GS10,SP500_RETURN,VIX
1990-02-28,8.24,0.0039215686274509665,8.47,0.00850279135448318,21.989999771118164
1990-03-31,8.28,0.004687499999999956,8.59,0.023965505779727975,19.729999542236328
1990-04-30,8.26,0.002332814930015692,8.79,-0.02725521238308934,19.520000457763672
1990-05-31,8.18,0.0015515903801395226,8.76,0.08800097873791163,17.3700008392334
1990-06-30,8.29,0.006196746707978429,8.48,-0.008926084910209643,15.5
1990-07-31,8.15,0.004618937644341736,8.47,-0.005236846788815325,21.11000061035156
1990-08-31,8.13,0.008429118773946254,8.75,-0.09906281541277137,29.899999618530273
1990-09-30,8.2,0.006838905775075954,8.89,-0.05254071046276892,29.11000061035156
1990-10-31,8.11,0.006792452830188811,8.72,-0.0067207460051146055,30.040000915527344
1990-11-30,7.81,0.002248875562218755,8.39,0.058206844445033885,22.15999984741211
1990-12-31,7.31,0.0037397157816005944,8.08,0.024524556849066764,26.3799991607666
1991-01-31,6.91,0.0037257824143070994,8.09,0.04067902429874777,20.90999984741211
1991-02-28,6.25,0.0007423904974017681,7.85,0.06511445851577603,21.229999542236328
1991-03-31,6.12,0.0,8.11,0.02195993835391828,16.8799991607666
1991-04-30,5.91,0.002225519287833766,8.04,0.0003197482375830989,18.239999771118164
1991-05-31,5.78,0.0037009622501851247,8.07,0.037878440105439656,15.93000030517578
1991-06-30,5.9,0.002949852507374784,8.28,-0.04907746586014916,19.549999237060547
1991-07-31,5.82,0.0014705882352941124,8.27,0.04388227631696101,15.18000030517578
1991-08-31,5.66,0.002936857562408246,7.9,0.019458239201722446,14.460000038146973
1991-09-30,5.45,0.002928257686676483,7.65,-0.01932934986955976,15.850000381469728
1991-10-31,5.21,0.0014598540145984717,7.53,0.011764759676739654,15.479999542236328
1991-11-30,4.81,0.004373177842565745,7.42,-0.04489664780873667,20.260000228881836
1991-12-31,4.43,0.002902757619738683,7.09,0.10578949320065524,19.309999465942383
1992-01-31,4.03,0.0007235890014474222,7.03,-0.020124906041998382,17.399999618530273
1992-02-29,4.06,0.002169197396963085,7.34,0.009543855309576457,16.68000030517578
1992-03-31,3.98,0.003607503607503615,7.54,-0.02207370360663792,16.18000030517578
1992-04-30,3.73,0.0021567217828901697,7.48,0.02751079773217417,15.529999732971191
1992-05-31,3.82,0.002152080344332674,7.39,0.0009634925174195682,13.859999656677246
1992-06-30,3.76,0.0028632784538296097,7.26,-0.017511264288296996,13.350000381469728
1992-07-31,3.25,0.002855103497501732,6.84,0.038618306803876776,13.170000076293944
1992-08-31,3.3,0.002135231316725994,6.59,-0.024290163475819793,13.579999923706056
1992-09-30,3.22,0.0021306818181816567,6.42,0.009064387885347568,14.279999732971191
1992-10-31,3.1,0.00425230333097093,6.59,0.0021040675880259034,16.149999618530273
1992-11-30,3.09,0.0028228652081863093,6.87,0.029812952179299218,13.010000228881836
1992-12-31,2.92,0.0014074595355384467,6.77,0.010057025148320268,12.56999969482422
1993-01-31,3.02,0.0035137034434293835,6.6,0.007021280908169157,12.420000076293944
1993-02-28,3.03,0.0021008403361342243,6.26,0.010429055449634723,13.15999984741211
1993-03-31,3.07,0.0013976240391335715,5.98,0.018524653242830477,12.529999732971191
1993-04-30,2.96,0.0034891835310537633,5.97,-0.025745396987600266,12.420000076293944
1993-05-31,3.0,0.0027816411682890507,6.04,0.022463263865183974,13.470000267028809
1993-06-30,3.04,0.0006934812760057696,5.96,0.0007549434975973471,11.260000228881836
1993-07-31,3.06,0.001386001386001201,5.81,-0.005341285007793978,11.729999542236328
1993-08-31,3.03,0.0020761245674740803,5.68,0.03385244141081636,11.850000381469728
1993-09-30,3.09,0.0013812154696131174,5.36,-0.010038144175098069,12.989999771118164
1993-10-31,2.99,0.004137931034482678,5.33,0.019207276337299777,11.460000038146973
1993-11-30,3.02,0.0027472527472527375,5.72,-0.012994692567740804,13.760000228881836
1993-12-31,2.96,0.00205479452054802,5.77,0.010040598783039005,11.65999984741211
1994-01-31,3.05,0.0,5.75,0.03198376790603728,10.630000114440918
1994-02-28,3.25,0.002734107997265811,5.97,-0.030505597516048102,14.869999885559082
1994-03-31,3.34,0.0027266530334015826,6.48,-0.04682593067640036,20.450000762939453
1994-04-30,3.56,0.0006798096532969478,6.97,0.011464671878566653,13.770000457763672
1994-05-31,4.01,0.0020380434782609758,7.18,0.012320928865823515,13.029999732971191
1994-06-30,4.25,0.0027118644067796183,7.1,-0.02715623904644618,14.970000267028809
1994-07-31,4.26,0.0033806626098715764,7.3,0.031004268952847046,11.130000114440918
1994-08-31,4.47,0.0040431266846361336,7.24,0.03690910079063622,11.970000267028809
1994-09-30,4.73,0.002013422818792021,7.46,-0.027245341243997485,14.279999732971191
1994-10-31,4.76,0.0006697923643670389,7.74,0.02061975964867581,14.5600004196167
1994-11-30,5.29,0.0026773761713521083,7.96,-0.04030609832475872,15.949999809265137
1994-12-31,5.45,0.0020026702269690944,7.81,0.012224097678835127,13.199999809265137
1995-01-31,5.53,0.0026648900732844094,7.78,0.023987692740722114,11.960000038146973
1995-02-28,5.92,0.0026578073089700283,7.47,0.035438712774815286,11.75
1995-03-31,5.98,0.001988071570576455,7.2,0.02696242010364243,13.369999885559082
1995-04-30,6.05,0.003968253968254176,7.06,0.027576603842838925,11.75
1995-05-31,6.01,0.0019762845849802257,6.63,0.03566797956572485,12.850000381469728
1995-06-30,6.0,0.0019723865877712132,6.17,0.021055316306170482,11.380000114440918
1995-07-31,5.85,0.001312335958005173,6.28,0.03128162759251219,13.489999771118164
1995-08-31,5.74,0.001965923984272644,6.49,-0.0003202887643984275,11.520000457763672
1995-09-30,5.8,0.001308044473512071,6.2,0.03931443269158869,12.739999771118164
1995-10-31,5.76,0.0026126714565644082,6.04,-0.004991773385712522,13.829999923706056
1995-11-30,5.8,0.0013029315960910726,5.93,0.04022886132135168,11.579999923706056
1995-12-31,5.6,0.0013012361743658385,5.71,0.017293475541394994,12.520000457763672
1996-01-31,5.56,0.005198180636777128,5.65,0.0320967312736511,12.529999732971191
1996-02-29,5.22,0.0019392372333548735,5.81,0.006909774215232251,17.040000915527344
1996-03-31,5.31,0.003225806451612856,6.27,0.007885395976348094,18.8799991607666
1996-04-30,5.22,0.0038585209003214604,6.51,0.01334202010570647,15.829999923706056
1996-05-31,5.24,0.0019218449711724261,6.74,0.02259617855050066,16.06999969482422
1996-06-30,5.27,0.0019181585677747748,6.91,0.0022541674267919786,13.68000030517578
1996-07-31,5.4,0.0019144862795150708,6.87,-0.04682750899291917,19.459999084472656
1996-08-31,5.22,0.001273885350318471,6.64,0.01863914203076116,17.010000228881836
1996-09-30,5.3,0.0031806615776082126,6.83,0.05278534169307636,16.950000762939453
1996-10-31,5.24,0.003170577045022105,6.53,0.025766184810720273,18.11000061035156
1996-11-30,5.31,0.003160556257901348,6.2,0.07080896305654677,17.139999389648438
1996-12-31,5.29,0.002520478890989386,6.3,-0.021740025620189604,20.920000076293945
1997-01-31,5.25,0.0018856065367693908,6.58,0.059510626546169565,19.469999313354492
1997-02-28,5.19,0.0018820577164364583,6.42,0.005910091189056064,21.100000381469727
1997-03-31,5.39,0.0006261740763933155,6.69,-0.04354863618214284,22.13999938964844
1997-04-30,5.51,0.0006257822277846437,6.89,0.05676360503236183,20.059999465942383
1997-05-31,5.5,0.0,6.71,0.05692544457452352,19.190000534057617
1997-06-30,5.56,0.0018761726078797558,6.49,0.04253503662890388,21.530000686645508
1997-07-31,5.52,0.0012484394506866447,6.22,0.07524272255849243,21.479999542236328
1997-08-31,5.54,0.0024937655860348684,6.3,-0.05918289529406516,24.760000228881836
1997-09-30,5.54,0.0024875621890545485,6.21,0.05178908254907495,22.90999984741211
1997-10-31,5.5,0.0018610421836229296,6.03,-0.03508607782077316,35.09000015258789
1997-11-30,5.52,0.0012383900928791824,5.88,0.04362145338032778,27.43000030517578
1997-12-31,5.5,0.0006184291898578831,5.81,0.015609138181524677,24.010000228881836
1998-01-31,5.56,0.0012360939431395046,5.54,0.010099010336863458,21.469999313354492
1998-02-28,5.51,0.0,5.57,0.06807836648858762,18.549999237060547
1998-03-31,5.49,0.0,5.65,0.048738462205499475,24.219999313354492
1998-04-30,5.45,0.0012345679012344402,5.64,0.009035525668709443,21.18000030517578
1998-05-31,5.49,0.002466091245376223,5.65,-0.01900569265965794,21.31999969482422
1998-06-30,5.56,0.0012300123001232066,5.5,0.03868041398243032,19.709999084472656
1998-07-31,5.54,0.002457002457002311,5.46,-0.01168331178413525,24.799999237060547
1998-08-31,5.55,0.001225490196078427,5.34,-0.15758607868343158,44.279998779296875
1998-09-30,5.51,0.000611995104039087,4.81,0.06052627819818775,40.95000076293945
1998-10-31,5.07,0.0024464831804280607,4.53,0.0772334378916789,28.049999237060547
1998-11-30,4.83,0.0012202562538132788,4.83,0.05744403620469628,26.010000228881836
1998-12-31,4.68,0.001828153564899626,4.65,0.05484350764671907,24.420000076293945
1999-01-31,4.63,0.0018248175182480342,4.72,0.04019085861548223,26.25
1999-02-28,4.76,0.0,5.0,-0.03281513760025149,27.8799991607666
